time,pos_x,pos_y,yaw,temperature,vibration
28.00,-0.9369,4.9114,100.80,24.965,0.1078
28.50,-1.0907,4.8796,102.60,24.952,0.1105
29.00,-1.2434,4.8429,104.40,24.937,0.1136
29.50,-1.3950,4.8015,106.20,24.921,0.1169
30.00,-1.5451,4.7553,108.00,24.902,0.1206
30.50,-1.6937,4.7044,109.80,24.882,0.1245
31.00,-1.8406,4.6489,111.60,24.860,0.1287
31.50,-1.9857,4.5888,113.40,24.836,0.1331
32.00,-2.1289,4.5241,115.20,24.810,0.1376
32.50,-2.2700,4.4550,117.00,24.782,0.1422
33.00,-2.4088,4.3815,118.80,24.753,0.1469
33.50,-2.5452,4.3037,120.60,24.721,0.1516
34.00,-2.6791,4.2216,122.40,24.689,0.1563
34.50,-2.8104,4.1354,124.20,24.654,0.1609
35.00,-2.9389,4.0451,126.00,24.618,0.1655
35.50,-3.0645,3.9508,127.80,24.580,0.1699
36.00,-3.1871,3.8526,129.60,24.541,0.1741
36.50,-3.3066,3.7506,131.40,24.500,0.1781
37.00,-3.4227,3.6448,133.20,24.458,0.1819
37.50,-3.5355,3.5355,135.00,24.414,0.1854
38.00,-3.6448,3.4227,136.80,24.369,0.1885
38.50,-3.7506,3.3066,138.60,24.323,0.1914
39.00,-3.8526,3.1871,140.40,24.275,0.1938
39.50,-3.9508,3.0645,142.20,24.226,0.1959
40.00,-4.0451,2.9389,144.00,24.176,0.1976
40.50,-4.1354,2.8104,145.80,24.124,0.1988
41.00,-4.2216,2.6791,147.60,24.072,0.1996
41.50,-4.3037,2.5452,149.40,24.018,0.2000
42.00,-4.3815,2.4088,151.20,23.964,0.1999
42.50,-4.4550,2.2700,153.00,23.908,0.1994
43.00,-4.5241,2.1289,154.80,23.852,0.1984
43.50,-4.5888,1.9857,156.60,23.794,0.1970
44.00,-4.6489,1.8406,158.40,23.736,0.1952
44.50,-4.7044,1.6937,160.20,23.677,0.1930
45.00,-4.7553,1.5451,162.00,23.618,0.1905
45.50,-4.8015,1.3950,163.80,23.558,0.1875
46.00,-4.8429,1.2434,165.60,23.497,0.1842
46.50,-4.8796,1.0907,167.40,23.436,0.1806
47.00,-4.9114,0.9369,169.20,23.375,0.1768
47.50,-4.9384,0.7822,171.00,23.313,0.1727
48.00,-4.9606,0.6267,172.80,23.251,0.1684
48.50,-4.9778,0.4705,174.60,23.188,0.1639
49.00,-4.9901,0.3140,176.40,23.126,0.1594
49.50,-4.9975,0.1571,178.20,23.063,0.1547
50.00,-5.0000,0.0000,180.00,23.000,0.1500
50.50,-4.9975,-0.1571,181.80,22.937,0.1453
51.00,-4.9901,-0.3140,183.60,22.874,0.1406
51.50,-4.9778,-0.4705,185.40,22.812,0.1361
52.00,-4.9606,-0.6267,187.20,22.749,0.1316
52.50,-4.9384,-0.7822,189.00,22.687,0.1273
53.00,-4.9114,-0.9369,190.80,22.625,0.1232
53.50,-4.8796,-1.0907,192.60,22.564,0.1194
54.00,-4.8429,-1.2434,194.40,22.503,0.1158
54.50,-4.8015,-1.3950,196.20,22.442,0.1125
55.00,-4.7553,-1.5451,198.00,22.382,0.1095
55.50,-4.7044,-1.6937,199.80,22.323,0.1070
56.00,-4.6489,-1.8406,201.60,22.264,0.1048
56.50,-4.5888,-1.9857,203.40,22.206,0.1030
57.00,-4.5241,-2.1289,205.20,22.148,0.1016
57.50,-4.4550,-2.2700,207.00,22.092,0.1006
58.00,-4.3815,-2.4088,208.80,22.036,0.1001
58.50,-4.3037,-2.5452,210.60,21.982,0.1000
59.00,-4.2216,-2.6791,212.40,21.928,0.1004
59.50,-4.1354,-2.8104,214.20,21.876,0.1012
60.00,-4.0451,-2.9389,216.00,21.824,0.1024
60.50,-3.9508,-3.0645,217.80,21.774,0.1041
61.00,-3.8526,-3.1871,219.60,21.725,0.1062
61.50,-3.7506,-3.3066,221.40,21.677,0.1086
62.00,-3.6448,-3.4227,223.20,21.631,0.1115
62.50,-3.5355,-3.5355,225.00,21.586,0.1146
63.00,-3.4227,-3.6448,226.80,21.542,0.1181
63.50,-3.3066,-3.7506,228.60,21.500,0.1219
64.00,-3.1871,-3.8526,230.40,21.459,0.1259
64.50,-3.0645,-3.9508,232.20,21.420,0.1301
65.00,-2.9389,-4.0451,234.00,21.382,0.1345
65.50,-2.8104,-4.1354,235.80,21.346,0.1391
66.00,-2.6791,-4.2216,237.60,21.311,0.1437
66.50,-2.5452,-4.3037,239.40,21.279,0.1484
67.00,-2.4088,-4.3815,241.20,21.247,0.1531
67.50,-2.2700,-4.4550,243.00,21.218,0.1578
68.00,-2.1289,-4.5241,244.80,21.190,0.1624
68.50,-1.9857,-4.5888,246.60,21.164,0.1669
69.00,-1.8406,-4.6489,248.40,21.140,0.1713
69.50,-1.6937,-4.7044,250.20,21.118,0.1755
70.00,-1.5451,-4.7553,252.00,21.098,0.1794
70.50,-1.3950,-4.8015,253.80,21.079,0.1831
71.00,-1.2434,-4.8429,255.60,21.063,0.1864
71.50,-1.0907,-4.8796,257.40,21.048,0.1895
72.00,-0.9369,-4.9114,259.20,21.035,0.1922
72.50,-0.7822,-4.9384,261.00,21.025,0.1946
73.00,-0.6267,-4.9606,262.80,21.016,0.1965
73.50,-0.4705,-4.9778,264.60,21.009,0.1980
74.00,-0.3140,-4.9901,266.40,21.004,0.1991
74.50,-0.1571,-4.9975,268.20,21.001,0.1998
75.00,-0.0000,-5.0000,270.00,21.000,0.2000
75.50,0.1571,-4.9975,271.80,21.001,0.1998
76.00,0.3140,-4.9901,273.60,21.004,0.1991
76.50,0.4705,-4.9778,275.40,21.009,0.1980
77.00,0.6267,-4.9606,277.20,21.016,0.1965
77.50,0.7822,-4.9384,279.00,21.025,0.1946
78.00,0.9369,-4.9114,280.80,21.035,0.1922
78.50,1.0907,-4.8796,282.60,21.048,0.1895
79.00,1.2434,-4.8429,284.40,21.063,0.1864
79.50,1.3950,-4.8015,286.20,21.079,0.1831
80.00,1.5451,-4.7553,288.00,21.098,0.1794
80.50,1.6937,-4.7044,289.80,21.118,0.1755
81.00,1.8406,-4.6489,291.60,21.140,0.1713
81.50,1.9857,-4.5888,293.40,21.164,0.1669
82.00,2.1289,-4.5241,295.20,21.190,0.1624
82.50,2.2700,-4.4550,297.00,21.218,0.1578
83.00,2.4088,-4.3815,298.80,21.247,0.1531
83.50,2.5452,-4.3037,300.60,21.279,0.1484
84.00,2.6791,-4.2216,302.40,21.311,0.1437
84.50,2.8104,-4.1354,304.20,21.346,0.1391
85.00,2.9389,-4.0451,306.00,21.382,0.1345
85.50,3.0645,-3.9508,307.80,21.420,0.1301
86.00,3.1871,-3.8526,309.60,21.459,0.1259
86.50,3.3066,-3.7506,311.40,21.500,0.1219
87.00,3.4227,-3.6448,313.20,21.542,0.1181
87.50,3.5355,-3.5355,315.00,21.586,0.1146
88.00,3.6448,-3.4227,316.80,21.631,0.1115
88.50,3.7506,-3.3066,318.60,21.677,0.1086
89.00,3.8526,-3.1871,320.40,21.725,0.1062
89.50,3.9508,-3.0645,322.20,21.774,0.1041
90.00,4.0451,-2.9389,324.00,21.824,0.1024
90.50,4.1354,-2.8104,325.80,21.876,0.1012
91.00,4.2216,-2.6791,327.60,21.928,0.1004
91.50,4.3037,-2.5452,329.40,21.982,0.1000
92.00,4.3815,-2.4088,331.20,22.036,0.1001
92.50,4.4550,-2.2700,333.00,22.092,0.1006
93.00,4.5241,-2.1289,334.80,22.148,0.1016
93.50,4.5888,-1.9857,336.60,22.206,0.1030
94.00,4.6489,-1.8406,338.40,22.264,0.1048
94.50,4.7044,-1.6937,340.20,22.323,0.1070
95.00,4.7553,-1.5451,342.00,22.382,0.1095
95.50,4.8015,-1.3950,343.80,22.442,0.1125
96.00,4.8429,-1.2434,345.60,22.503,0.1158
96.50,4.8796,-1.0907,347.40,22.564,0.1194
97.00,4.9114,-0.9369,349.20,22.625,0.1232
97.50,4.9384,-0.7822,351.00,22.687,0.1273
98.00,4.9606,-0.6267,352.80,22.749,0.1316
98.50,4.9778,-0.4705,354.60,22.812,0.1361
99.00,4.9901,-0.3140,356.40,22.874,0.1406
99.50,4.9975,-0.1571,358.20,22.937,0.1453
